,drug,target,pathway
1,(5Z)-7-Oxozeaenol_1242,"MAP3K7,  TAK1, TGF1a","MAPK signaling pathway,NF-kappa B signaling pathway,AMPK signaling pathway,Wnt signaling pathway,TNF signaling pathway,	IL-17 signaling pathway"
2,16-beta-bromoandrosterone,NA,dehydroepiandrosterone (DHEA) analog
3,"1S,3R-RSL-3",GPX4,synthetic lethal with HRAS in engineered cells;  of GPX4
4,3-Cl-AHPC,NR0B2,binder of nuclear receptor SHP
5,5-Fluorouracil_1073,"DNA ,RNA,TYMS","Capecitabine Action Pathway,Fluorouracil Action Pathway,pyrimidine analog; inhibitor of thymidylate synthase"
6,5-Fluorouracil_179,"DNA ,RNA,TYMS","Capecitabine Action Pathway,Fluorouracil Action Pathway,pyrimidine analog; inhibitor of thymidylate synthase"
7,glutaminase inhibitor 968,GLS,inhibitor of glutaminase
8,A-443654_86,"AKT1, AKT2, AKT3",PI3K/MTOR signaling
9,A-770041_55,"LCK, FYN",FLT3 signaling through SRC family kinases
10,A-804598,P2RX7,inhibitor of purinergic receptor P2X
11,A-83-01_477,"TGFB,ALK5,ALK4,ALK7",NA
12,AA-COCF3,"FAAH,PLA2G4A,PLA2G4B,PLA2G4C,PLA2G4D","effector of arachidonic acid metabolic process,inhibitor of phospholipase A2 activity"
13,abiraterone,CYP17A1,"inhibitor of 17 alpha-hydroxylase and C17,20 lyase"""
14,ABT-199,BCL2,inhibitor of BCL2
15,ABT-737,"BCL2, BCL-XL, BCL-W, BCL-B, BFL1",Apoptosis regulation
16,ABT737_1910,"BCL2, BCL-XL, BCL-W, BCL-B, BFL2",Apoptosis regulation
17,AC55649,"RARA,RARB","agonist of retinoic acid receptor beta,retinoid receptor agonist"
18,Acetalax_1804,"TNFa, TNFR1"," autocrine receptor-mediated apoptosis,OXY delivered intraperitoneally inhibited tumor growth, accompanied by phosphorylation of eIF2¦Á and degradation of TNFR1. OXY induces a multifaceted cell starvation response, which ultimately induces programmed cell death"
19,ACY-1215_264,HDAC6,Chromatin histone acetylation
20,afatinib,"EGFR,ERBB2","MAPK signaling pathway,ErbB signaling pathway,inhibition of EGFR and HER2"
21,Afatinib_1032,"EGFR,ERBB3","MAPK signaling pathway,ErbB signaling pathway,inhibition of EGFR and HER3"
22,Afatinib_1032,"EGFR,ERBB4","MAPK signaling pathway,ErbB signaling pathway,inhibition of EGFR and HER4"
23,Afatinib_1377,"EGFR,ERBB5","MAPK signaling pathway,ErbB signaling pathway,inhibition of EGFR and HER5"
24,Afuresertib_1912,"AKT1, AKT2, AKT3",PI3K/MTOR signaling
25,AGI-5198_1913,IDH1 (R132H),metabolism
26,AGI-6780_1634,IDH2(R140Q),Metabolism
27,AGI-6780_562,IDH2(R141Q),Metabolism
28,AGK-2,SIRT2,inhibition of sirtuin 2
29,AICA Ribonucleotide_1001,AMPK ,"Purine Metabolism,Mercaptopurine Action Pathway,Purine Nucleoside Phosphorylase Deficiency,Molybdenum Cofactor Deficiency,Azathioprine Action Pathway"
30,AKT inhibitor VIII_171,"AKT1, AKT2, AKT3",PI3K/MTOR signaling
31,AKT inhibitor VIII_228,"AKT1, AKT2, AKT4",PI4K/MTOR signaling
32,Alectinib_281,"ALK,MET","ALK tyrosine kinase receptor ,RTK signaling"
33,alisertib,"AURKA,AURKB","inhibitor of aurora kinases A and B,Mitosis"
34,alisertib:navitoclax (2:1 mol/mol),"AURKA,AURKB","inhibitor of aurora kinases A and B,Mitosis"
35,Alisertib_1051,"AURKA,AURKB","inhibitor of aurora kinases A and B,Mitosis"
36,Alisertib_431,"BCL2L1,BCL2L2,BCL2",effector of apoptotic process 
37,Alpelisib_1560,PI3Kalpha,PI3K/MTOR 
38,alvocidib,"CDK1,CDK2,CDK4,CDK6,CDK7",Cyclin-dependent kinase (CDK) inhibitor
39,AM-580,RARA,"agonist of retinoic acid receptor alpha,retinoid receptor agonist"
40,AMG-319_2045,PI3K (beta sparing),PI3K/MTOR signaling
41,Amuvatinib_293,"FLT3,KIT,MET,PDGFRA","FLT3 |KIT |PDGFR tyrosine kinase receptor |RAD51 |RET tyrosine kinase,RTK signaling"
42,apicidin,"HDAC1,HDAC2,HDAC3,HDAC6,HDAC8",NA
43,Apitolisib_382,"FGR,MAP3K9,mTOR,MTOR,PI3K,PIK3CA,PIK3CB,PIK3CD,PIK3CG,SYK",PI3K/MTOR signaling
44,AR-42_272,HDAC1,Chromatin histone acetylation
45,Ara-G_427,Anti-metabolite,NA
46,ARRY-520_474,KIF11,Kinesin spindle protein inhibitor
47,AS601245_207,"JNK1,JNK2",JNK and p38 signaling
48,AS605240_224,"PI3K¦Ã,PIK3CG",PI3K/MTOR signaling
49,AST-1306_381,"EGFR,ERBB2,ERBB4",EGFR /RTK signaling
50,AT-406,XIAP,"Apoptosis - multiple species,inhibitor of inhibitor of apoptosis proteins (IAPs)"
51,AT-7519_219,"CDK1,CDK2,CDK4,CDK5,CDK6,CDK9",Cell cycle
52,AT13148_2170,AKT1,PI3K/MTOR 
53,AT13387,"HSP90AA1,HSP90","PI3K-Akt signaling pathway,Estrogen signaling pathway"
54,AT7867,"AKT,AKT1,AKT2,AKT3,GSK3B,PKIA,PRKACA,RPS6KB2","PI3K/MTOR signaling,inhibition of AKT1/2/3 and S6K"
55,AT7867_356,AKT:|:AKT1:|:AKT2:|:AKT3:|:GSK3B:|:PKIA:|:PRKACA:|:RPS6KB2,"PI3K/MTOR signaling,inhibition of AKT1/2/3 and S7K"
56,austocystin D,"NR1I2,NR1I3",inducer of DNA damage
57,Avagacestat_1072,"PSEN1,PSENEN,NCSTN,APH1A ","Notch signaling pathway,Neurotrophin signaling pathway,Alzheimer disease"
58,Avagacestat_205,"PSEN1,PSENEN,NCSTN,APH2A","Notch signaling pathway,Neurotrophin signaling pathway,Alzheimer disease"
59,avicin D,"NR3C1 ,FADD, FAS,PRKAA1,PRKAA2",NA
60,avrainvillamide,NPM1,"effector of nuclear export, effector of nuclear import"
61,axitinib,CSF1:|:FLT1:|:FLT3:|:FLT4:|:KDR:|:KIT:|:PDGFR:|:PDGFRA:|:PDGFRB:|:PLK3:|:VEGFR,"MAPK signaling pathway,VEGF signaling pathway"
62,Axitinib_1021,CSF1:|:FLT1:|:FLT3:|:FLT4:|:KDR:|:KIT:|:PDGFR:|:PDGFRA:|:PDGFRB:|:PLK4:|:VEGFR,"MAPK signaling pathway,VEGF signaling pathway"
63,Axitinib_1021,CSF1:|:FLT1:|:FLT3:|:FLT4:|:KDR:|:KIT:|:PDGFR:|:PDGFRA:|:PDGFRB:|:PLK5:|:VEGFR,"MAPK signaling pathway,VEGF signaling pathway"
64,AZ-3146,TTK,inhibition of TTK protein kinase:|:monopolar spindle 1 kinase
65,AZ20_1184,ATR:|:MTOR,ATR kinase :|:Genome integrity
66,AZ6102_2109,TNKS1:|:TNKS2,WNT signaling
67,AZ628_29,BRAF:|:RAF1,ERK MAPK signaling:|:RAF
68,AZ960_1250,JAK2:|:JAK3,Other kinases
69,azacitidine,"DNMT1, DNMT3A, DNMT3B","Cysteine and methionine metabolism,MicroRNAs in cancer"
70,AZD1208_1449,PIM1:|:PIM2:|:PIM3,"Other, kinases"
71,AZD1208_1449,PIM1:|:PIM2:|:PIM3,"Other, kinases"
72,AZD1332_1463,NTRK1:|:NTRK2:|:NTRK3,RTK signaling
73,AZD1332_1463,NTRK1:|:NTRK2:|:NTRK3,RTK signaling
74,AZD1480,JAK1:|:JAK2:|:JAK3,"inhibition of Janus kinases 1 and 2:|:JAK :|:Other, kinases"
75,AZD1480_1432,JAK1:|:JAK2:|:JAK3,"inhibition of Janus kinases 1 and 3:|:JAK :|:Other, kinases"
76,AZD2014_1441,"mTORC1, mTORC2",PI3K/MTOR 
77,AZD2014_1441,"mTORC1, mTORC2",PI3K/MTOR 
78,AZD3514_1382,AR,Hormone-related
79,AZD3759_1915,EGFR,EGFR signaling
80,AZD4547,FGFR1:|:FGFR2:|:FGFR3:|:FGFR4:|:IGF1R:|:KDR,FGFR :|: inhibition of fibroblast growth factor receptors:|:RTK signaling
81,AZD4547_1135,FGFR1:|:FGFR2:|:FGFR3:|:FGFR4:|:IGF1R:|:KDR,FGFR :|: inhibition of fibroblast growth factor receptors:|:RTK signaling
82,AZD4547_1497,FGFR1:|:FGFR2:|:FGFR3:|:FGFR4:|:IGF1R:|:KDR,FGFR :|: inhibition of fibroblast growth factor receptors:|:RTK signaling
83,AZD4547_1786,FGFR1:|:FGFR2:|:FGFR3:|:FGFR4:|:IGF1R:|:KDR,FGFR :|: inhibition of fibroblast growth factor receptors:|:RTK signaling
84,AZD4877_1409,EG5,Mitosis
85,AZD5153_1706,BRD4,Chromatin other
86,AZD5363_1916,"AKT1, AKT2, AKT3, ROCK2","Other, kinases"
87,AZD5438_1401,CDK2:|:KCNH2,CDK :|:Cell cycle
88,AZD5438_1401,CDK2:|:KCNH2,CDK :|:Cell cycle
89,AZD5582_1427,cIAP:|:XIAP,Apoptosis regulation
90,AZD5582_1617,cIAP:|:XIAP,Apoptosis regulation
91,AZD5991_1720,MCL1,Apoptosis regulation
92,AZD6094_1403,MET,RTK 
93,AZD6482,PI3KB:|:PIK3CA:|:PIK3CB:|:PIK3CD:|:PIK3CG,inhibition of PI3K catalytic subunits beta and delta:|:PI3K :|:PI3K/MTOR signaling
94,AZD6482_1066,PI3KB:|:PIK3CA:|:PIK3CB:|:PIK3CD:|:PIK4CG,inhibition of PI3K catalytic subunits beta and delta:|:PI3K :|:PI4K/MTOR signaling
95,AZD6482_156,PI3KB:|:PIK3CA:|:PIK3CB:|:PIK3CD:|:PIK5CG,inhibition of PI3K catalytic subunits beta and delta:|:PI3K :|:PI5K/MTOR signaling
96,AZD6482_2169,PI3KB:|:PIK3CA:|:PIK3CB:|:PIK3CD:|:PIK6CG,inhibition of PI3K catalytic subunits beta and delta:|:PI3K :|:PI6K/MTOR signaling
97,AZD6738_1394,ATR,"p53 signaling pathway,Cell cycle,Cellular senescence"
98,AZD6738_1917,ATR,"p54 signaling pathway,Cell cycle,Cellular senescence"
99,AZD7545,"PDK1,PDK2",effector of pyruvate dehydrogenase (acetyl-transferring) kinase activity
100,AZD7762,CHEK1:|:CHEK2,Cell cycle:|:CHK :|: inhibition of checkpoint kinases 1 and 2
101,AZD7762_1022,CHEK1:|:CHEK2,Cell cycle:|:CHK :|: inhibition of checkpoint kinases 1 and 3
102,AZD7762_1022,CHEK1:|:CHEK2,Cell cycle:|:CHK :|: inhibition of checkpoint kinases 1 and 4
103,AZD7762_1402,CHEK1:|:CHEK2,Cell cycle:|:CHK :|: inhibition of checkpoint kinases 1 and 5
104,AZD7969_1426,GSK3B,WNT signaling
105,AZD8055,MTOR:|:MTORC1:|:MTORC2,of mTOR:|:mTOR :|:PI3K/MTOR signaling
106,AZD8055_1059,MTOR:|:MTORC1:|:MTORC2,of mTOR:|:mTOR :|:PI3K/MTOR signaling
107,AZD8055_1059,MTOR:|:MTORC1:|:MTORC2,of mTOR:|:mTOR :|:PI3K/MTOR signaling
108,AZD8186_1444,PI3Kalpha:|:PI3Kbeta,PI3K/MTOR signaling
109,AZD8186_1918,PI3Kalpha:|:PI3Kbeta,PI3K/MTOR signaling
110,AZD8835_1445,PI3Kalpha:|:PI3Kdelta,PI3K/MTOR signaling
111,AZD8931_1416,"EGFR, ERBB2, ERBB3",RTK 
112,B02,RAD51,of RAD51
113,bafilomycin A1,ATP6V0A1,inhibition of the vacuolar-type H+-ATPase
114,BAM7_552,BAX:|:Bax activator,BAX activator:|:Other:|:stapled helical peptide activating BAX
115,barasertib,AURKB,inhibition of aurora kinase B
116,bardoxolone methyl,"KEAP1, IKBKB,AKT1,NFE2L2,NFKB1","electrophilic inducer of the NFE2L2-KEAP1 pathway,Anti-inflammatory"
117,Bax channel blocker,BAX,of BAX-mediated mitochondrial cytochrome c release
118,BAY-61-3606_178,SYK,"Other, kinases:|:syk"
119,BCL-LZH-4,"BCL2L1,BCL2,MCL1","inhibition of BCL2, BCL-xL, and MCL1"
120,BDP-00009066_1866,MRCKB_HUMAN,Cytoskeleton
121,BEC,ARG1:|:ARG2,"effector of urea cycle, effector of arginase activity, activator of relaxation of vascular smooth muscle"
122,belinostat,"HDAC1,HDAC2,HDAC3,HDAC6,HDAC8","Notch signaling pathway,Cell cycle,Pathways in cancer,Chromatin histone acetylation"
123,Belinostat_274,"HDAC1,HDAC2,HDAC3,HDAC6,HDAC9","Notch signaling pathway,Cell cycle,Pathways in cancer,Chromatin histone acetylation"
124,bendamustine,DNA,"Chronic lymphocytic leukemia,Non-Hodgkin lymphoma,Antineoplastic, Alkylating agent"
125,betulinic acid,"SP1,ACAT2,POLB,ACAT1,SOAT1,STS,ANPEP,GPBAR1",inhibition of specificity protein 1 transcription factor in cells
126,bexarotene,"RXRA:|:RXRB:|:RXRG,RARA,RARB","PPAR signaling pathway,Adipocytokine signaling pathway"
127,Bexarotene_186,"RXRA:|:RXRB:|:RXRG,RARA,RARB","PPAR signaling pathway,Adipocytokine signaling pathway"
128,BI-2536,"PLK1, PLK2, PLK3","inhibitor of protein localization to spindle pole body, inhibitor of protein catabolic process, inhibitor of mitosis, effector of spindle assembly involved in mitosis,Cell Cycle , effector of microtubule cytoskeleton organization , effector of microtubule polymerization, activator of apoptotic process, inhibitor of mitotic prometaphase , activator of mitotic cell cycle arrest , effector of mitotic prophase "
129,BI-2536_1086,"PLK1, PLK2, PLK4","inhibitor of protein localization to spindle pole body, inhibitor of protein catabolic process, inhibitor of mitosis, effector of spindle assembly involved in mitosis,Cell Cycle , effector of microtubule cytoskeleton organization , effector of microtubule polymerization, activator of apoptotic process, inhibitor of mitotic prometaphase , activator of mitotic cell cycle arrest , effector of mitotic prophase "
130,BI-2536_60,"PLK1, PLK2, PLK5","inhibitor of protein localization to spindle pole body, inhibitor of protein catabolic process, inhibitor of mitosis, effector of spindle assembly involved in mitosis,Cell Cycle , effector of microtubule cytoskeleton organization , effector of microtubule polymerization, activator of apoptotic process, inhibitor of mitotic prometaphase , activator of mitotic cell cycle arrest , effector of mitotic prophase "
131,BIBF-1120_380,FGFR1;FGFR2;FGFR3;FLT1;FLT3;KDR;PDGFRA;PDGFRB,"MAPK signaling pathway,VEGF signaling pathway"
132,BIBR-1532,TERT,inhibitor of telomerase reverse transcriptase
133,BIBR-1532_2043,TERT,inhibitor of telomerase reverse transcriptase
134,Bicalutamide_150,AR,"androgen receptor antagonist:|:Hormone-related,prostate cancer"
135,Bicalutamide_1502,AR,"androgen receptor antagonist:|:Hormone-related,prostate cancer"
136,BIRB-796,"MAPK11,MAPK14","inhibition of p38 MAPK,MAPK signaling pathway,VEGF signaling pathway, Osteoclast differentiation"
137,birinapant,"DIABLO,XIAP","inhibition of apoptosis proteins, SMAC mimetic"
138,BIX-01294,EHMT1:|:EHMT2,histone lysine methyltransferase :|: inhibition of G9a histone methyltransferase
139,BIX02189_279,ERK5:|:MAP2K5:|:MAPK7:|:MEK5,ERK MAPK signaling:|:MEK
140,blebbistatin,"MYH1,MYH2,MYH4,MYH6,MYH7,MYH7B,MYH8,MYH9,MYH15,MYH16,MYH3","inhibitor of cytokinesis,inhibitor of contractile ring contraction involved in cell cycle cytokinesis,inhibitor of ATP catabolic process, inhibitor of cell migration, inhibitor of bleb assembly, inhibitor of myosin heavy chain kinase activity,inhibitor of myosin II ATPases"
141,Bleomycin (10 uM)_1392,dsDNA break induction:|:LIG1:|:LIG3,"inhibition of DNA replication, inducer of DNA damage"
142,Bleomycin (50 uM)_1378,dsDNA break induction:|:LIG1:|:LIG4,"inhibition of DNA replication, inducer of DNA damage"
143,bleomycin A2,dsDNA break induction:|:LIG1:|:LIG5,"inhibition of DNA replication, inducer of DNA damage"
144,Bleomycin_190,dsDNA break induction:|:LIG1:|:LIG6,"inhibition of DNA replication, inducer of DNA damage"
145,BMS-195614,RARA:|:RARB:|:RARG,antagonist of retinoic acid receptors
146,BMS-270394,RARG,antagonist of retinoic acid receptor gamma
147,BMS-345541,CHUK:|:IKBKB:|:IKK1:|:IKK2,"IKK :|: inhibition of IKK-2:|:Other, kinases"
148,BMS-345541_1249,CHUK:|:IKBKB:|:IKK1:|:IKK2,"IKK :|: inhibition of IKK-3:|:Other, kinases"
149,BMS-345541_203,CHUK:|:IKBKB:|:IKK1:|:IKK2,"IKK :|: inhibition of IKK-4:|:Other, kinases"
150,BMS-509744_63,ITK,"Other, kinases"
151,BMS-536924,AKT1:|:CCNE1:|:CDK2:|:CYP3A4:|:ERBB2:|:IGF1R:|:INSR:|:IR:|:KDR:|:LCK:|:MAPK1:|:MET:|:PDGFRA:|:PDGFRB,"IGF-1 :|:IGF1R signaling:|: inhibition of insulin-like growth factor 1 receptor (IGF1R) and insulin receptor (INSR),inhibition of cell proliferation, inhibitor of cell migration, inhibitor of cellular process, effector of cell cycle , activator of apoptotic process, effector of establishment or maintenance of cell polarity , effector of insulin-like growth factor-activated receptor activity, activator of epidermal growth factor-activated receptor activity "
152,BMS-536924_1091,AKT1:|:CCNE1:|:CDK2:|:CYP3A4:|:ERBB2:|:IGF1R:|:INSR:|:IR:|:KDR:|:LCK:|:MAPK1:|:MET:|:PDGFRA:|:PDGFRB,"IGF-1 :|:IGF1R signaling:|: inhibition of insulin-like growth factor 1 receptor (IGF2R) and insulin receptor (INSR),inhibition of cell proliferation, inhibitor of cell migration, inhibitor of cellular process, effector of cell cycle , activator of apoptotic process, effector of establishment or maintenance of cell polarity , effector of insulin-like growth factor-activated receptor activity, activator of epidermal growth factor-activated receptor activity"
153,BMS-536924_1091,AKT1:|:CCNE1:|:CDK2:|:CYP3A4:|:ERBB2:|:IGF1R:|:INSR:|:IR:|:KDR:|:LCK:|:MAPK1:|:MET:|:PDGFRA:|:PDGFRB,"IGF-1 :|:IGF1R signaling:|: inhibition of insulin-like growth factor 1 receptor (IGF3R) and insulin receptor (INSR),inhibition of cell proliferation, inhibitor of cell migration, inhibitor of cellular process, effector of cell cycle , activator of apoptotic process, effector of establishment or maintenance of cell polarity , effector of insulin-like growth factor-activated receptor activity, activator of epidermal growth factor-activated receptor activity"
154,BMS-536924_62,AKT1:|:CCNE1:|:CDK2:|:CYP3A4:|:ERBB2:|:IGF1R:|:INSR:|:IR:|:KDR:|:LCK:|:MAPK1:|:MET:|:PDGFRA:|:PDGFRB,"IGF-1 :|:IGF1R signaling:|: inhibition of insulin-like growth factor 1 receptor (IGF4R) and insulin receptor (INSR),inhibition of cell proliferation, inhibitor of cell migration, inhibitor of cellular process, effector of cell cycle , activator of apoptotic process, effector of establishment or maintenance of cell polarity , effector of insulin-like growth factor-activated receptor activity, activator of epidermal growth factor-activated receptor activity"
155,BMS-754807,AKT1:|:IGF1R:|:IR,IGF-1 :|: inhibition of insulin-like growth factor 1 receptor and insulin receptor:|:RTK signaling
156,BMS-754807_184,AKT1:|:IGF1R:|:IR,IGF-1 :|: inhibition of insulin-like growth factor 2 receptor and insulin receptor:|:RTK signaling
157,BMS-754807_2171,AKT1:|:IGF1R:|:IR,IGF-1 :|: inhibition of insulin-like growth factor 3 receptor and insulin receptor:|:RTK signaling
158,bortezomib,"PSMB1,PSMB2,PSMB5,PSMD1,PSMD2",Proteasome
159,Bortezomib_104,Proteasome:|:PSMA1:|:PSMA2:|:PSMA3:|:PSMA4:|:PSMA5:|:PSMA6:|:PSMA7:|:PSMA8:|:PSMB1:|:PSMB10:|:PSMB11:|:PSMB2:|:PSMB3:|:PSMB4:|:PSMB5:|:PSMB6:|:PSMB7:|:PSMB8:|:PSMB9:|:PSMD1:|:PSMD2:|:RELA,"inhibition of 26S proteasome:|:NFkB pathway , proteasome :|:NFkB pathway |proteasome :|:Protein stability and degradation"
160,Bortezomib_1191,Proteasome:|:PSMA1:|:PSMA2:|:PSMA3:|:PSMA4:|:PSMA5:|:PSMA6:|:PSMA7:|:PSMA8:|:PSMB1:|:PSMB10:|:PSMB11:|:PSMB2:|:PSMB3:|:PSMB4:|:PSMB5:|:PSMB6:|:PSMB7:|:PSMB8:|:PSMB9:|:PSMD1:|:PSMD2:|:RELA,"of 26S proteasome:|:NFkB pathway , proteasome :|:NFkB pathway |proteasome :|:Protein stability and degradation"
161,bosutinib,"ABL1,SRC","ErbB signaling pathway,Pathways in cancer,Chronic myeloid leukemia"
162,Bosutinib_1019,ABL:|:ABL1:|:BCR:|:CAMK1D:|:CAMK2G:|:CDK2:|:FRK:|:FYN:|:HCK:|:LYN:|:MAP2K1:|:MAP2K2:|:MAP3K2:|:MAP4K5:|:SRC:|:STK10:|:STK24:|:STK4:|:TEC:|:TNK2:|:TXK,"ErbB signaling pathway,Pathways in cancer,Chronic myeloid leukemia"
163,BPD-00008900_1998,NA,Other
164,BPTES_1425,GLS,Other
165,BRD-A02303741,DOT1L,inhibition of histone methyltransferases
166,BRD-A02303741:carboplatin (1:1 mol/mol),DOT1L,inhibition of histone methyltransferases;inducer of DNA damage
167,BRD-A02303741:navitoclax (2:1 mol/mol),BCL2:|:BCL2L1:|:BCL2L2:|:DOT1L,"inhibition of histone methyltransferases; inhibition of BCL2, BCL-xL, and BCL-W"
168,BRD-A05715709,IDH1,putative inhibition of IDH1 R132H
169,BRD-A71883111,IDH1,putative inhibition of IDH1 R132H
170,BRD-A86708339,"KDM3A,KDM4A",screening hit
171,BRD-A94377914,HDAC1:|:HDAC2:|:HDAC3:|:HDAC6:|:HDAC8,"inhibition of HDAC1, HDAC2, HDAC3, HDAC6, and HDAC8"
172,BRD-K01737880,"AURKB,AURKC",screening hit
173,BRD-K02251932,NA,product of diversity oriented synthesis
174,BRD-K02492147,NA,product of diversity oriented synthesis
175,BRD-K03536150,BAX,activator of BAX
176,BRD-K03911514,NA,stapled helical peptide
177,BRD-K04800985,NA,product of diversity oriented synthesis
178,BRD-K07442505,NA,NA
179,BRD-K09344309,NA,screening hit
180,BRD-K09587429,NA,product of diversity oriented synthesis
181,BRD-K11533227,HDAC1:|:HDAC2,inhibition of HDAC1 and HDAC2
182,BRD-K13185470,MCL1,stapled helical peptide targeting MCL1
183,BRD-K13999467,NA,product of diversity oriented synthesis
184,BRD-K14844214,NA,product of diversity oriented synthesis
185,BRD-K16130065,NA,stapled helical peptide
186,BRD-K16147474,NA,product of diversity oriented synthesis
187,BRD-K17060750,NA,product of diversity oriented synthesis
188,BRD-K19103580,NA,product of diversity oriented synthesis
189,BRD-K20514654,NA,stapled helical peptide
190,BRD-K24690302,HDAC1,of HDAC1
191,BRD-K26531177,NA,analog of the natural product piperlongumine
192,BRD-K27188169,NA,stapled helical peptide
193,BRD-K27188169:navitoclax (2:1 mol/mol),BCL2:|:BCL2L1:|:BCL2L2,"stapled helical peptide; of BCL2, BCL-xL, and BCL-W"
194,BRD-K27224038,NA,product of diversity oriented synthesis
195,BRD-K27986637,NA,product of diversity oriented synthesis; screening hit
196,BRD-K28456706,HNF4A,of hepatocyte nuclear factor 4 alpha
197,BRD-K29086754,NA,product of diversity oriented synthesis
198,BRD-K29313308,HDAC3,inhibition of HDAC3
199,BRD-K30019337,NA,product of diversity oriented synthesis
200,BRD-K30748066,CDK9,inhibition of CDK9
201,BRD-K33199242,NA,product of diversity oriented synthesis
202,BRD-K33514849,NA,screening hit
203,BRD-K34099515,NA,screening hit
204,BRD-K34222889,NA,analog of the natural product piperlongumine
205,BRD-K34485477,NA,product of diversity oriented synthesis
206,BRD-K35604418,MCL1,inhibition of MCL1
207,BRD-K37390332,NA,product of diversity oriented synthesis
208,BRD-K41334119,NA,product of diversity oriented synthesis
209,BRD-K41597374,NA,product of diversity oriented synthesis
210,BRD-K42260513,EZH2,inhibition of enhancer of zeste polycomb repressive complex 2 subunit
211,BRD-K44224150,NA,product of diversity oriented synthesis
212,BRD-K45681478,NA,product of diversity oriented synthesis; screening hit
213,BRD-K48334597,NA,product of diversity oriented synthesis
214,BRD-K48477130,NA,screening hit
215,BRD-K49290616,NA,product of diversity oriented synthesis
216,BRD-K50799972,NA,product of diversity oriented synthesis
217,BRD-K51490254,HDAC6:|:HDAC8,inhibition of HDAC6 and HDAC8
218,BRD-K51831558,EZH2,inhibition of enhancer of zeste polycomb repressive complex 2 subunit
219,BRD-K52037352,NA,product of diversity oriented synthesis
220,BRD-K55116708,NA,product of diversity oriented synthesis;  of leukemic stem cells
221,BRD-K55473186,NOTCH1,stapled helical peptide targeting NOTCH1
222,BRD-K58730230,NA,stapled helical peptide
223,BRD-K61166597,"HDAC1,HDAC2",inhibition of HDAC1 and HDAC2
224,BRD-K63431240,NA,product of diversity oriented synthesis; screening hit
225,BRD-K64610608,NA,product of diversity oriented synthesis; screening hit
226,BRD-K66453893,NA,product of diversity oriented synthesis
227,BRD-K66532283,HDAC1:|:HDAC2,inhibition of HDAC1 and HDAC2
228,BRD-K70511574,"PLK1,CSF1R,FGFR1,FLT1,FLT3,FLT4,KDR,KIT,PDGFRA,PDGFRB,RET",inhibitor of polo-like kinase 1
229,BRD-K71781559,NA,screening hit
230,BRD-K71935468,NA,inducer of ROS
231,BRD-K75293299,NA,product of diversity oriented synthesis
232,BRD-K78574327,NA,product of diversity oriented synthesis
233,BRD-K79669418,MDM2:|:MDM4,of MDM4-p53 interaction
234,BRD-K80183349,HDAC1:|:HDAC2,inhibition of HDAC1 and HDAC2
235,BRD-K84807411,NA,product of diversity oriented synthesis
236,BRD-K85133207,HDAC1,inhibition of HDAC1
237,BRD-K86535717,NA,product of diversity oriented synthesis
238,BRD-K88742110,HDAC8,inhibition of HDAC8
239,BRD-K90370028,NA,screening hit
240,BRD-K92856060,NA,screening hit
241,BRD-K94991378,NA,inducer of ROS
242,BRD-K96431673,NA,product of diversity oriented synthesis
243,BRD-K96970199,NA,product of diversity oriented synthesis
244,BRD-K97651142,NA,aphrocallistin derivative
245,BRD-K99006945,NA,screening hit
246,BRD-K99584050,NA,stapled helical peptide
247,BRD-M00053801,BCL2,inhibition of BCL2
248,BRD1812,"CTNNB1,CREBBP,CREB1","effector of insulin-like growth factor-activated receptor activity, inhibitor of canonical Wnt receptor signaling pathway, inhibitor of Notch signaling pathway , effector of neuron differentiation, activator of apoptotic process"
249,BRD1835,EZH2,product of diversity oriented synthesis; screening hit
250,BRD4132,NA,screening hit
251,BRD6340,NA,screening hit
252,BRD8899,STK33,inhibition of serine/threonine kinasase STK33
253,BRD8958,EP300,histone acetyltransferase :|: inhibition of E1A binding protein p300
254,BRD9647,NA,screening hit
255,BRD9876,NA,screening hit
256,BRD9876:MK-1775 (4:1 mol/mol),WEE1,screening hit; inhibition of WEE1
257,brefeldin A,ARF1,"modulator of ADP-ribosylation factor 1, inhibitor of protein translocation from ER to Golgi, inhibitor of protein ADP-ribosylation,inhibitor of protein targeting to Golgi"
258,brivanib,"FLT1,KDR,CYP3A4,FGFR1,KCNH2","MAPK signaling pathway,PI3K-Akt signaling pathway,VEGF signaling pathway"
259,"Brivanib, BMS-540215_376","VEGFR, PDGFR",RTK signaling
260,Bryostatin 1_197,PKC:|:PRKCE,Other:|:PKC activator
261,Buparlisib_1873,PI3KA:|:PI3KB:|:PI3KD:|:PI3Kgamma:|:PIK3CA:|:PIK3CG,PI3K :|:PI3K/MTOR signaling
262,BX-912_222,CDK2:|:CHEK1:|:GSK3B:|:KDR:|:PDK1:|:PDK1 (PDPK1):|:PDPK1,Metabolism:|:pyruvate dehydrogenase kinase
263,BX795_1037,"TBK1, PDK1 (PDPK1), IKK, AURKB, AURKC","Other, kinases"
264,BYL-719,PI3KA:|:PIK3CA:|:PIK3CB:|:PIK3CD:|:PIK3CG,of PI3K catalytic subunit alpha:|:PI3K :|:PI3K/MTOR signaling
265,C-75_435,FAS,Apoptosis regulation
266,C6-ceramide,MAPK1:|:PPP2CA:|:UGCG,inhibition of glucosylceramide synthase; activator of MAP kinase (ERK); stimulator of protein phosphatase 2A
