,drug,target,pathway
849,Rapamycin_3,FGF2:|:FKBP1A:|:MTOR:|:MTORC1,of mTOR:|:mTOR :|:PI3K/MTOR signaling
850,Refametinib_1014,MAP2K1:|:MAP2K2:|:MEK1:|:MEK2,ERK MAPK signaling:|:MEK
851,Refametinib_1526,MAP2K1:|:MAP2K2:|:MEK1:|:MEK2,ERK MAPK signaling:|:MEK
852,regorafenib,BRAF;KDR;KIT;RET,"inhibitor of BRAF, RET, KIT, and VEGFR2,MAPK signaling pathway,VEGF signaling pathway
"
853,Repligen 136,HDAC3,of HDAC3
854,RG-108,DNMT1:|:DNMT3B,DNA methyltransferase :|: of DNA methyltransferase
855,Ribociclib_1632,CDK4:|:CDK6,CDK :|:Cell cycle
856,rigosertib,PIK3CA;PIK3CB;PLK1,"inhibitor of polo-like kinase 1; inhibitor of PI3K catalytic subunits alpha and beta,Cell cycle"
857,RITA,MDM2:|:TP53,of p53-MDM2 interaction:|:MDM
858,RO-3306_1052,CDK1,Cell cycle
859,RO-3306_1052,CDK1,Cell cycle
860,RO4929097,APH1A:|:NCSTN:|:PSEN1:|:PSENEN,gamma secretase :|: of gamma-secretase
861,rTRAIL_1261,TRAIL receptor agonist,Apoptosis regulation
862,RU-SKI 43_576,Shh,Other
863,Rucaparib_1175,PARP1:|:PARP2,Genome integrity:|:PARP
864,ruxolitinib,JAK1;JAK2,"inhibitor of Janus kinases 1 and 2,Chemokine signaling pathway,JAK-STAT signaling pathway"
865,Ruxolitinib_1507,JAK1:|:JAK2:|:JAK3:|:TYK2,"of Janus kinases 1 and 2:|:JAK :|:Other, kinases"
866,Ruxolitinib_206,JAK1:|:JAK2:|:JAK3:|:TYK2,"of Janus kinases 1 and 2:|:JAK :|:Other, kinases"
867,RVX-208_1625,BRD4,Chromatin other
868,S-Trityl-L-cysteine_41,KIF11,Mitosis
869,Sabutoclax_1849,BCL-XL:|: BFL1:|:BCL2:|:MCL1,Apoptosis regulation
870,salermide,SIRT1;SIRT2,"inhibitor of sirtuin 1 and sirtuin 2,"
871,salermide:PLX-4032 (12:1 mol/mol),NA,NA
872,Salubrinal_111,EIF2A:|:EIF2S1,eukaryotic translation initiation factor :|:Other
873,Sapitinib_1549,EGFR:|:ERBB2:|:ERBB3,EGFR :|:EGFR signaling:|:RTK signaling
874,saracatinib,ABL1;SRC,"inhibitor of SRC and ABL1,ErbB signaling pathway,Chemokine signaling pathway,VEGF signaling pathway"
